identifiant_id;nom_de_l_organisme;adresse_de_l_organisme;code_postal;commune;lien_vers_la_ressource;description_des_contenus_et_de_l_experience_proposes_min_200_max_500_caracteres;si_enfants_merci_de_preciser_le_niveau_scolaire;titre_de_la_ressource;activite_proposee_apprendre_se_divertir_s_informer;public_cible;types_de_ressources_proposees;thematiques;contenus_adaptes_aux_types_de_handicap;temps_d_activite_estime_lecture_ecoute_visionnage_jeu;accessibilite_perennite_de_la_ressource;rattachement_de_l_organisme;autre_precisez;si_limite_dans_le_temps_precisez_jusqu_a_quelle_date;autres_preciez;adresse;latitude;longitude;geolocalisation
1251;Musée d'Orsay;1 Rue de la Légion d'Honneur;75007;Paris;https://www.musee-orsay.fr/fr/outils-transversaux/galerie-video/orsay-en-mouvements.html;« Les mouvements artistiques » Une série de très courts métrages sous-titrés, tournés au musée d'Orsay pour tout savoir sur les mouvements artistiques de la période, 1848-1914.</p>;;Les mouvements artistiques;Expos, musées;Tous publics;Vidéo, flux en direct, programmes en différé;"Musées;Peinture";;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;1 Rue de la Légion d'Honneur 75007 Paris;48.8603012;2.3253496;48.8603012,2.3253496
1252;Musée d'Orsay;1 Rue de la Légion d'Honneur;75007;Paris;https://www.musee-orsay.fr/fr/espace-particuliers/particuliers/accessibilite/deficience-auditive/commentaires-lsf.html;Environ une trentaine d’oeuvres emblématiques du musée d’Orsay commentées en langues des signes (LSF).</p>;;Œuvres emblématiques en LSF;Expos, musées;Tous publics;Vidéo, flux en direct, programmes en différé;"Musées;Peinture";Langue des signes française (LSF);Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;1 Rue de la Légion d'Honneur 75007 Paris;48.8603012;2.3253496;48.8603012,2.3253496
1256;Centre Pompidou;Place Georges-Pompidou;75004;Paris;http://www.handicap.centrepompidou.fr/site/index.php?page=contenu&page_id=2;Le Centre Pompidou propose des parcours multimédia sensibles et des vidéos en langue des signes accompagnée d'un sous-titrage en français pour découvrir un mouvement artistique, des artistes et explorer une œuvre.</p>;;Public handicapé;Expos, musées;Tous publics;Audio, radio, podcasts;"Arts visuels;Musées";"Sous-titrage;Transcription textuelle;Audiodescription (AD);Jeu utilisant du HTML;Navigation au clavier;Facile à lire et à comprendre (FALC);Langue des signes française (LSF);Sous-titrage (ST)";Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;Place Georges-Pompidou 75004 Paris;48.8608613;2.351717;48.8608613,2.351717
1275;Théâtre National de Bretagne;1 rue Saint-Hélier;35040;Rennes;https://www.t-n-b.fr/lire-histoire-de-la-litterature-recente;Laurent Poitrenaux, acteur associé au TNB propose la lecture quotidienne d’Histoire de la littérature récente – Tome I d’Olivier Cadiot parut aux éditions P.O.L, Paris en 2016. Dans ce livre, Olivier Cadiot a conçu une traversée de la littérature en plusieurs épisodes, comique et sensible, une histoire en zigzag émaillée de conseils à de futurs auteur.ice.s... et surtout à soi-même. Olivier Cadiot se joindra à Laurent Poitrenaux en proposant la lecture de certains chapitres.;;Lectures d’Histoire de la littérature récente;Audios;Tous publics;Audio, radio, podcasts;Littérature, sciences humaines, langues;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;1 rue Saint-Hélier 35040 Rennes;48.1079572;-1.6728939;48.1079572,-1.6728939
1290;La Cinémathèque française;51 rue de Bercy;94200;Ivry-sur-Seine;https://vimeo.com/showcase/6974393;Une collection de films brefs, de films courts, conçus et fabriqués avec les moyens du bord, avec trois fois rien. Réalisés puis envoyés par des artistes du monde entier. Des cinéastes chevronnés, des acteurs, des monteurs et producteurs, de jeunes étudiants et étudiantes de la Femis ou de Louis Lumière, aussi. Le site est enrichi quotidiennement de nouvelles contributions.;;Lettres de cinéma;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;"Audiovisuel;Cinéma";;Le temps d’un week-end;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;51 rue de Bercy 94200 Ivry-sur-Seine;48.8372395;2.3825299;48.8372395,2.3825299
1291;La Grand-Plage, médiathèque et Archives de Roubaix;2 rue Pierre Motte;59100;Roubaix;https://www.bn-r.fr/dossiers_thematiques.php;Consultez les versions numérisées de nombreux documents sur l'histoire de la ville : cartes postales, photographies, lettres à en-tête, presse ancienne, etc. Le site est alimenté par les services et établissements culturels de la ville de Roubaix (musée La Piscine, Conservatoire, médiathèque, Archives municipales, etc.), mais aussi par des associations et des particuliers, collectionneurs et passionnés.;;Bibliothèque numérique;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;2 rue Pierre Motte 59100 Roubaix;50.6905258;3.1754379;50.6905258,3.1754379
1303;Château de Versailles;1 place d'Armes;78000;Versailles;http://animationjardins.ressources.chateauversailles.fr/;Le plan interactif, à destination de tous les publics, offre une lecture thématique des jardins de Versailles. Ainsi, il aborde le sujet des perspectives, la composition des parterres, l'architecture des bosquets, le défi de l'acheminement de l'eau et la représentation mythologique des saisons.</p>;Primaire|Collège|Lycée;Les Jardins de Versailles;Approfondir ses connaissances;Parents / Éducateurs;Ressources pédagogiques;"Architecture et patrimoine;Monuments historiques;Parcs et jardins";"Transcription textuelle;Audiodescription (AD);Jeu utilisant du HTML;Navigation au clavier";Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;1 place d'Armes 78000 Versailles;48.8014959;2.1204437;48.8014959,2.1204437
1304;Musée des Arts Décoratifs;107 rue de Rivoli;75001;Paris;https://madparis.fr/francais/musees/musee-des-arts-decoratifs/parcours/;(Re)découvrez l'une des plus importantes collections d'arts décoratifs au monde : au cœur de Paris, le Musée des Arts Décoratifs présente, sur 6.000 m2, une sélection d'objets – près de 6.000 pièces –, parmi lesquels de très nombreux chefs-d'œuvre !;;Parcours historique;Expos, musées;Tous publics;Expositions virtuelles;Arts décoratifs, design, métiers d’art;;Le temps d’une soirée;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;107 rue de Rivoli 75001 Paris;48.863091;2.333307;48.863091,2.333307
1313;Château de Fontainebleau;Place du général de Gaulle;77300;Fontainebleau;http://www.chateau-fontainebleau-education.fr/guide/;"Découvrez ""Les clés du château"", un guide pédagogique dédié au public scolaire. Ce site propose quatre parcours, de la Renaissance à Napoléon Ier, en passant par la monarchie absolue pour découvrir les salles et les jardins du château à travers son histoire. Des notices historiques, des photographies et des plans permettent d'apprendre l'histoire de France de manière ludique.</p>";;Les clés du château de Fontainebleau;Approfondir ses connaissances;Parents / Éducateurs;Ressources pédagogiques;"Architecture et patrimoine;Histoire;Monuments historiques";;Le temps d’un week-end;Accès permanent;Ministère de la Culture ou opérateur national;;;;Place du général de Gaulle 77300 Fontainebleau;48.4026127;2.6969502;48.4026127,2.6969502
1323;Le Cube, centre de création numérique;20 cours Saint-Vincent;92130;Issy-Les-Moulineaux;http://lecube.com/15-defis-pour-booster-votre-creativite-numerique;"Eveillez votre créativité et devenez expert·e du digital art, en réalisant les 15 défis numériques du Cube. Tout en restant chez vous : créez votre propre masque de Réalité Virtuelle ; écoutez le récit intime d’un assistant numérique ; visitez le Jardin des Plantes Sauvages en 360°. Et n’hésitez pas à proposer ce challenge à vos ami·e·s, vos enfants ou à vos collègues !";;15 défis pour booster votre créativité numérique;Jeux;Tous publics;Jeux;"Arts numériques;Arts visuels;Éducation artistique et culturelle;Sciences";;Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;20 cours Saint-Vincent 92130 Issy-Les-Moulineaux;48.8199662;2.2531715;48.8199662,2.2531715
1328;Musée national des arts asiatiques - Guimet;6 Place d'Iéna;75116;Paris;https://www.youtube.com/channel/UCG9v5AW7dKE8FnCOGNVJsZg;Le musée Guimet est né du grand projet d'un industriel lyonnais, Émile Guimet (1836-1918), de créer un musée des religions de l'Égypte, de l'antiquité classique et des pays d'Asie. Des voyages en Égypte, en Grèce, puis un tour du monde en 1876, avec des étapes au Japon, en Chine et en Inde lui permirent de réunir d'importantes collections.;;Chaîne Youtube;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;"Architecture et patrimoine;Arts décoratifs, design, métiers d’art;Musées;Sculpture";;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;6 Place d'Iéna 75116 Paris;48.8651488;2.2935509;48.8651488,2.2935509
1335;Bibliothèques de Nancy;43 rue Stanislas;54000;Nancy;https://kiosque.limedia.fr/;Limédia kiosque vous permet d’accéder à la Presse quotidienne régionale lorraine ancienne. Retrouvez plus de 30 titres numérisés : l'Est républicain, le Journal de la Meurthe et des Vosges, le Messin ...;;Limédia kiosque;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Archives;;Toute une vie ne suffit pas;Accès permanent;Collectivité territoriale;;;;43 rue Stanislas 54000 Nancy;48.691856;6.178906;48.691856,6.178906
1341;TV5 Monde;131 avenue de Wagram;75017;Paris;https://culture.tv5monde.com/arts-et-spectacles/quesaco;Sur un ton décalé, drôle et résolument moderne, « Quèsaco » tente de répondre en 2’ à la question que l’on se pose parfois devant une peinture : « Mais qu’est-ce que c’est que ce tableau ? ». En observant quelques chefs d'oeuvre exposés au musée d’Orsay à Paris « Quèsaco » propose des éléments de réponse, en s’attachant à replacer l’œuvre et son auteur dans son contexte historique, artistique ou politique puis en cherchant des indices disséminés dans la toile.;;Quèsaco;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;"Arts visuels;Peinture;Musées";;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;131 avenue de Wagram 75017 Paris;48.8836128;2.3019272;48.8836128,2.3019272
1342;Université Paris 1 Panthéon-Sorbonne - Ecole Doctorale d'Archéologie;Institut d'Art et d'Archéologie, 3 rue Michelet;75006;Paris;https://www.youtube.com/channel/UCGcxqQOCHDqayis8GgM6rBQ;Faire revivre le passé en dessins animés : c’est l’objectif de Past & Curious, la série d'archéologie. Ces films courts, fondés sur des données scientifiques, proposent une plongée dans notre histoire... Les archéologues misent sur un format accessible à tous pour partager la science. Si vous vous demandez comment sont construites les pyramides mayas ou comment était fabriqué le fromage dans l’Antiquité, Past & Curious est là pour vous répondre !;;Past & Curious, la série d'archéologie;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;"Architecture et patrimoine;Archéologie;Audiovisuel;Éducation artistique et culturelle;Histoire;Sciences";Sous-titrage (ST);Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;Institut d'Art et d'Archéologie, 3 rue Michelet 75006 Paris;48.8424433;2.3359046;48.8424433,2.3359046
1350;Palais de la découverte;211 Avenue Jean Jaurès;75019;Paris;http://www.palais-decouverte.fr/fr/au-programme/offre-numerique/;"Face à l’épidémie, la science est aux avant-postes. Dans cette période de confinement, la culture scientifique doit aller à la rencontre de tous. C'est pourquoi nous lançons le programme ""la science est là"". Une offre numérique qui vous propose de nouveaux rendez-vous et vient renforcer notre offre en ligne.";;La science est là;Approfondir ses connaissances;Tous publics;Ressources pédagogiques;Sciences;;Le temps d’une soirée;Accès gratuit exceptionnel et limité dans le temps;Ministère de la Culture ou opérateur national;;2020-06-30T19:47:05;;211 Avenue Jean Jaurès 75019 Paris;48.8890923;2.394432;48.8890923,2.394432
1353;La Cinémathèque française;51 rue de Bercy;75012;Paris;https://www.cinematheque.fr/henri/;Des films rares de la Cinémathèque française à voir  en ligne : Tous les soirs, à 20h30 et à cette adresse, nous vous proposerons donc un film parmi ceux que la Cinémathèque a restaurés au cours des vingt dernières années. Le site s'enrichira ainsi quotidiennement de merveilles, souvent rares, voire inédites, qui resteront disponibles jusqu'au retour des beaux jours, quand nos salles pourront rouvrir.;;Henri, la quatrième salle;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Cinéma;;Le temps d’une soirée;Accès gratuit exceptionnel et limité dans le temps;Ministère de la Culture ou opérateur national;;2020-06-30T19:47:05;;51 rue de Bercy 75012 Paris;48.8372395;2.3825299;48.8372395,2.3825299
1356;Musée des Arts Décoratifs;107 rue de Rivoli;75001;Paris;https://madparis.fr/francais/musees/musee-des-arts-decoratifs/dossiers-thematiques/chronologie-de-la-mode-1715-1914/;Chronologie de la mode en images de 1715 à 1914;;Chronologie de la mode;Approfondir ses connaissances;Tous publics;Ressources pédagogiques;"Mode;Arts décoratifs, design, métiers d’art";;Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;107 rue de Rivoli 75001 Paris;48.863091;2.333307;48.863091,2.333307
1357;Centre Pompidou;Place Georges-Pompidou;75004;Paris;https://prisme7.io/fr;Le Centre Pompidou dévoile son premier jeu vidéo : Prisme7. Réalisé par des artistes du numérique, où des œuvres majeures de la collection du musée d'art moderne se donnent à voir et à jouer, le jeu vidéo du Centre Pompidou propose une plongée dans un univers artistique et poétique.</p>;;Prisme 7;Jeux;Tous publics;Jeux;"Arts numériques;Audiovisuel;Musées";;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;Place Georges-Pompidou 75004 Paris;48.8608613;2.351717;48.8608613,2.351717
1364;Labo Des Histoires;161 rue Saint-Martin;75003;Paris;https://soundcloud.com/le-labo-des-histoires;Le Labo donne le pouvoir d'écrire aux jeunes ! Ateliers et cours d'écriture gratuits pour les jeunes de moins de 25 ans.</p>;112|Collège|Lycée;Ateliers d'écriture;Partager ses passions;Enfants;Audio, radio, podcasts;Littérature, sciences humaines, langues;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme privé;;;;161 rue Saint-Martin 75003 Paris;48.8623135;2.3518696;48.8623135,2.3518696
1370;Fondation Orange;78, rue Olivier de Serres;75015;Paris;https://www.lecteurs.com/ebooks;L’indémodable Au Bonheur des Dames d'Emile Zola, mais aussi un classique britannique toujours aussi insensé à relire : Alice au Pays des Merveilles de Lewis Carroll. Nous vous proposons également des ouvrages omniprésents dans les programmes scolaires tels que Candide ou l'Optimiste de Voltaire ou Les Trois Mousquetaires d'Alexandre Dumas, ou encore une plongée dans l'inconscient selon Freud, avec Psychopatholigie de la vie quotidienne.;;Plus de 1 200 ebooks gratuits;Livres;Tous publics;Livres numériques;"Littérature, sciences humaines, langues;Histoire;Sciences";;Toute une vie ne suffit pas;Accès permanent;Organisme privé;;;;78, rue Olivier de Serres 75015 Paris;48.8332122;2.2942155;48.8332122,2.2942155
1377;Espace Paul et André Vera;2 Rue Henri IV;78100;Saint-Germain-en-Laye;https://artsandculture.google.com/exhibit/les-collections-du-mus%C3%A9e-municipal/FwKCdaCOLbCgJw;"Créé en 1872 à partir du legs de Louis-Alexandre Ducastel, le musée municipal se concentre autour des collections Beaux-arts, arts décoratifs et archéologiques que cet ancien notable de la ville de Saint-Germain-en-Laye conservait à la suite de son père Alexandre-Jean. En plus de l’ensemble XVIIe-XIXe, l’acquisition de ""L’Escamoteur"" d’après Jérôme Bosch et de quelques autres œuvres des anciens  Pays-Bas du XVIe siècle autour de la scène de genre montre en particulier le goût éclairé de ces amateurs d’art.";;Les collections du musée municipal;Expos, musées;Tous publics;Expositions virtuelles;"Musées;Peinture;Arts décoratifs, design, métiers d’art";;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;2 Rue Henri IV 78100 Saint-Germain-en-Laye;48.8962721;2.0970747;48.8962721,2.0970747
1384;Noto;114-116, boulevard de Charonne;75020;Paris;https://www.noto-revue.fr/lire-noto/;NOTO invite les curieux et les amoureux de la culture à des découvertes artistiques et à la lecture de textes de référence. Histoire de l’art, photographie, art contemporain, littérature, idées, cinéma, patrimoine…;;Revue d'art;Actualités, débats;Tous publics;Création et pratiques artistiques;"Arts décoratifs, design, métiers d’art;Arts visuels;Photographie";;Le temps d’un vrai déjeuner;Accès permanent;Organisme privé;;;;114-116, boulevard de Charonne 75020 Paris;48.8545174;2.3962781;48.8545174,2.3962781
1385;Paris Musées;27 rue des petites écuries;75010;Paris;http://parismuseescollections.paris.fr/fr/parcours-thematiques;Paris sous la révolution, Victor Hugo et l'océan, Mode féminine et sport 1880-1939, Vivre à Paris au XVIIIe siècle, ...;;Parcours thématiques;Expos, musées;Tous publics;Expositions virtuelles;"Architecture et patrimoine;Musées;Peinture;Sculpture";;Toute une vie ne suffit pas;Accès permanent;Collectivité territoriale;;;;27 rue des petites écuries 75010 Paris;48.8736022;2.3514249;48.8736022,2.3514249
1388;Atelier Vidéo & Multimédia;26 bd Malouet;97320;Saint-Laurent du Maroni;http://avm-guyane.com/la-fete-du-court-metrage-made-in-guyane/2020;"Dans le cadre de la version en ligne de la fête du court-métrage, intitulé 'Fête du Court-Métrage à la maison' , nous avons décidé de mettre en ligne une programmation ""locale"" et de faire découvrir des films réalisés dans le cadre des activités de l'association.";;Fête du court-métrage Made in Guyane !;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;"Audiovisuel;Cinéma";;Le temps d’une soirée;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;26 bd Malouet 97320 Saint-Laurent du Maroni;5.5059682;-54.0297694;5.5059682,-54.0297694
1391;Documents d'Artistes Bretagne;41 rue Charles Berthelot;29200;Brest;http://ddab.org;Documents d’Artistes Bretagne documente et diffuse des artistes visuels vivant en Bretagne. Les dossiers, réalisés avec les artistes, sont édités en ligne sur le site. Chaque dossier présente une biobibliographie exhaustive, des textes et de nombreux documents visuels et sonores. Les photographies d’œuvres s’accompagnent de vues d’exposition et de notices.;;Documents d'Artistes Bretagne;Expos, musées;Tous publics;Images, collections numérisées, bases de données;"Arts visuels;Peinture;Sculpture";;Le temps d’une soirée;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;41 rue Charles Berthelot 29200 Brest;48.3977257;-4.4795413;48.3977257,-4.4795413
1393;Institut national de la propriété industrielle;15 rue des Minimes;92400;Courbevoie;https://artsandculture.google.com/partner/inpi;L’Institut national de la propriété industrielle propose 7 expositions virtuelles et plus de 200 planches issues du fonds patrimonial des brevets d’invention. Ce fonds unique recense près de 410 000 dossiers originaux de 1791 à 1901. Plusieurs thématiques sont abordées : l’invention du vélo, la conquête des profondeurs, la photographie, le parapluie, les femmes inventrices ou encore la poubelle.;;A la découverte des inventions !;Expos, musées;Tous publics;Expositions virtuelles;Archives;Transcription textuelle;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;15 rue des Minimes 92400 Courbevoie;48.9045381;2.2618897;48.9045381,2.2618897
1399;Château de Versailles;Pavillon des Roulettes;78000;Versailles;https://www.chateauversailles-spectacles.fr/page/a-voir-ou-a-revoir_a273/1;"Richard Coeur de Lion de Grétry, ""Le Couronnement du roi George II"" de Haendel, ""La Damnation de Faust"" de Berlioz ou encore les ""Vêpres de la Vierge"" de Monteverdi... Revivez en intégralité une sélection de grands spectacles donnés à l'Opéra Royal et à la Chapelle Royale du Château de Versailles !</p>";;À voir ou à revoir : revivez les spectacles;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé;"Histoire;Monuments historiques";Sous-titrage (ST);Le temps d’une soirée;Accès gratuit exceptionnel et limité dans le temps;Organisme privé;;2020-08-31T19:47:05;;Pavillon des Roulettes 78000 Versailles;48.8077283;2.1236888;48.8077283,2.1236888
1434;Maison de la poésie;157 Rue Saint-Martin;75003;Paris;https://www.maisondelapoesieparis.com/fenetre-sur-lautre/;"Pour montrer sa solidarité aux personnes en première ligne, pour faire part de sa créativité ou tout simplement pour s’occuper, la Maison de la Poésie invite tout un chacun à transformer ses fenêtres en poèmes. Cette initiative s’inscrit dans le cadre du projet “Fenêtre sur l’autre” lancé par la Ville de Paris aux côtés de plusieurs institutions parisiennes, parmi lesquelles le Forum des images et la Maison Européenne de la Photographie.<br />
<br />
&nbsp;</p>";;Printemps de la poésie;Partager ses passions;Tous publics;Création et pratiques artistiques;Littérature, sciences humaines, langues;;Le temps d’un vrai déjeuner;Accès gratuit exceptionnel et limité dans le temps;Collectivité territoriale;;2020-06-30T15:26:14;;157 Rue Saint-Martin 75003 Paris;48.8621782;2.3518425;48.8621782,2.3518425
1435;Mobilier National;1 Rue Berbier du Mets;75013;Paris;https://collection.mobiliernational.culture.gouv.fr/recherche;Meubles anciens, design, tapisseries, orfèvrerie, dorures, tissus précieux: le Mobilier national a décidé de rendre accessible sur internet son patrimoine inestimable. 78.000 notices d’objets et 25.000 photographies : la collection unique au monde d’un garde-meuble d’exception».</p>;;85 000 œuvres, meubles et textiles;Expos, musées;Tous publics;Images, collections numérisées, bases de données;Arts décoratifs, design, métiers d’art;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;1 Rue Berbier du Mets 75013 Paris;48.833875;2.3509932;48.833875,2.3509932
1436;Mucem (Musée des civilisations de l'Europe et de la Méditerranée);1 Espl. J4;13002;Marseille;https://www.mucem.org/page-search?term=skateboard&type=collection;Fan de skateboard ? Tapez ce mot dans le moteur de recherche du Musée des civilisations de l'Europe et de la Méditerranée (Mucem) de Marseille, et vous verrez apparaître une collection de planches à roulettes de toutes les tendances. C'est l'une des innombrables choses que l'on peut demander à ce site internet très riche qui permet de voyager dans les collections, mais aussi de lire des interviews d’artistes et de découvrir des expositions en vidéo.</p>;;Collections en ligne du Mucem;Expos, musées;Tous publics;Images, collections numérisées, bases de données;Musées;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;1 Espl. J4 13002 Marseille;43.2967925;5.36108;43.2967925,5.36108
1439;Musée d'art et d'histoire du Judaïsme;Hôtel de Saint-Aignan, 71 Rue du Temple;75004;Paris;https://www.mahj.org/fr/ressources-ressources-documentaires/enregistrements-audios;Revivez certaines visites et rencontres dans les salles à travers ces enregistrements audios du mahJ (autour des expositions, la parole aux chercheurs, le regard de... etc.);;Enregistrements audio;Audios;Tous publics;Audio, radio, podcasts;Musées;;Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;Hôtel de Saint-Aignan, 71 Rue du Temple 75004 Paris;48.8613112;2.3555576;48.8613112,2.3555576
1445;Musée de La Poste;34 Boulevard de Vaugirard;75015;Paris;https://www.museedelaposte.fr/histoires-de-timbres;Cette section ravira tous ceux qui s’intéressent à l’histoire des postes en général et de La Poste en particulier, avec un accès à la base des collections du Musée destiné aux passionnés.;;Expositions en ligne;Approfondir ses connaissances;Tous publics;"Ressources pédagogiques;Images, collections numérisées, bases de données";"Éducation artistique et culturelle;Histoire;Musées";;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;34 Boulevard de Vaugirard 75015 Paris;48.8414682;2.317183;48.8414682,2.317183
1448;Opéra Comique;1 Place Boieldieu;75002;Paris;https://www.opera-comique.com/fr/saisons/saison-2020/l-opera-comique-depuis-chez;Tous les mercredis, nous mettrons des opéras à votre disposition en replay. Pour chacune des oeuvres, nous vous proposons des contenus (programme, interviews, photos, dossiers pédagogiques...), pour que l'expérience du spectacle se rapproche le plus de ce que vous auriez pu vivre in situ.</p>;;Les spectacles en replay;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé;Musique, concerts et opéras;;Le temps d’un vrai déjeuner;Accès gratuit exceptionnel et limité dans le temps;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;2020-06-30T20:45:08;;1 Place Boieldieu 75002 Paris;48.870617;2.3376277;48.870617,2.3376277
1454;Printemps de Bourges;22 rue Henri Sellier;18000;Bourges;https://www.printemps-bourges.com/programmation-generale/;Une soixantaine d'artistes vont participer au Printemps de Bourges imaginaire, à partir du 21 avril. Un festival sur les réseaux sociaux où la création se fera en lien avec les spectateurs.Alain Souchon, Catherine Ringer, Renan Luce, Dionysos, Tryo ou encore Philippe Katerine : les artistes sont nombreux à se mobiliser pour permettre l'organisation du Printemps de Bourges imaginaire, un festival à distance du 21 au 26 avril.;;Printemps de l'imaginaire;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé;Musique, concerts et opéras;;Le temps d’un week-end;Accès gratuit exceptionnel et limité dans le temps;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;2020-04-26T19:30:15;;22 rue Henri Sellier 18000 Bourges;47.0774046;2.395234;47.0774046,2.395234
1466;Créative Handicap;11 place des Victoires;92600;Asnières sur seine;https://www.youtube.com/channel/UCbdMuLhoz9eOum0gb6vI3WQ;Pour nos amis déficients visuel et ceux qui aiment écouter découvrez en audio, la vie et les artistes des artistes. Description faites par Florian Soirot, artiste et expert handicap de l'association Créative Handicap</p>;Lycée;La vie et les oeuvres de grands artistes en audiodescription;Audios;Tous publics;Audio, radio, podcasts;"Arts visuels;Sculpture";Audiodescription (AD);Le temps d'un vrai déjeuner;Accès permanent;Organisme privé;;;;11 place des Victoires 92600 Asnières sur seine;48.9104634;2.2924898;48.9104634,2.2924898
1481;Saint-Pierre Patrimoine, ville de Saint-Pierre;Rue Méziaire Guignard;97448;Saint-Pierre;https://www.facebook.com/272412416105254/photos/a.494592183887275/3277700668909732/?type=3&theater;Mots croisés autour du patrimoine de Saint-Pierre. Le jeu permet de gagner une visite guidée pour deux personnes. relativement simple, il s'agissait ici de fournir un moment ludique pendant le confinement. Jeu réalisé par Saint-Pierre Patrimoine, pôle du service culturel de la ville de Saint-Pierre</p>;Lycée;Mots croisés;Approfondir ses connaissances;Tous publics;Jeux;Architecture et patrimoine;;Le temps d'un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;Rue Méziaire Guignard 97448 Saint-Pierre;-21.3415579;55.4780141;-21.3415579,55.4780141
1482;Saint-Pierre Patrimoine;Rue Méziaire Guignard;97448;Saint-Pierre;https://www.culture-st-pierre.fr/patrimoine.html?start=2;"Le service patrimoine propose des visites virtuelles spéciales&nbsp;confinement de l'Hôtel de ville de Saint-Pierre, du port, du marché couvert, la rivière d'Abord,etc.</p>";Primaire|Collège;Visites virtuelles de la ville de Saint-Pierre;Expos, musées;Tous publics;Expositions virtuelles;Architecture et patrimoine;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;Rue Méziaire Guignard 97448 Saint-Pierre;-21.3415579;55.4780141;-21.3415579,55.4780141
1486;Saint-Pierre Patrimoine, ville de Saint-Pierre;Méziaire Guignard;97448;Saint-Pierre;https://www.facebook.com/272412416105254/videos/556060312010575/;Voici la visite virtuelle n° 3 consacrée au marché couvert de Saint-Pierre, Monument Historique emblématique de la ville.</p>;Lycée;Visite virtuelle n° 3 - Le marché couvert de Saint-Pierre;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;"Architecture et patrimoine;Histoire;Monuments historiques;Photographie";;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;Méziaire Guignard 97448 Saint-Pierre;-21.3415579;55.4780141;-21.3415579,55.4780141
